,,,,,China White,Ivory,Soft Yellow,Bright Yellow,Squash Yellow,Harvest Gold,Orange Sorbet,Apricot,Orange,Red Coral,Fire Engine Red,Flame Red,Dragon Red,Blush,Pink Pink,Peach,Rose,Crimson,Lilac,Regal Purple,Plum,Lavender,Wild Violet,Pansy Purple,Concord Grape,Baby Blue,Wedgewood Blue,Sea Blue,Bright Blue,Kings Blue,Midnight Blue,Electra Blue,Tucson Turquoise,Aquamarine,Jade,True Teal
Orange Ya Happy,sc_50_cone06.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/HJbLkY8b8sghPBgoiNG0hg/OdCxSiITeqBS0omXwxUniuY-EUYhRcXLDXLUQm5UtR6rEnVhIQ0aJkFeXWlc1gq1_MfrO4h8qqxj4I1-Zhl04YCM2p1DytUIag7qEeKrfSJ4Dwk5tpC-bjPV0xil-k1_AI8ekbygfxKY2JCqWrclVztTKb6q33vpZ9i57ghmDtc/DjA4_vVFoVi9BRc3P6RMezbjFK04aDIUDkeb6fvmlPI),sc_50_cone06.jpg,https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/HJbLkY8b8sghPBgoiNG0hg/OdCxSiITeqBS0omXwxUniuY-EUYhRcXLDXLUQm5UtR6rEnVhIQ0aJkFeXWlc1gq1_MfrO4h8qqxj4I1-Zhl04YCM2p1DytUIag7qEeKrfSJ4Dwk5tpC-bjPV0xil-k1_AI8ekbygfxKY2JCqWrclVztTKb6q33vpZ9i57ghmDtc/DjA4_vVFoVi9BRc3P6RMezbjFK04aDIUDkeb6fvmlPI),,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melon-choly,sc_2_cone06.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/Q0ulhLd9O9m3vmQxEvwO3Q/-GxuVqRoclARr0V1qa0u0S8Pqi4lAzNm5jiO24dafgAfXx1vWQEwbBwQpSLF6XeyX8Z8ASOAEQmYN-W52HiSFsPzGjmds0jZ5lTeluHv-R7DScuYt6ddKjo4B93Lzs4W7MiFr4sw-niY_PXnzP7kuEkKpyDGiGtytvdx13URJ7Y/GsG4Iy4kPjFSgc8DUI4XhgtqhUdeGJWcodrjst4WN1I),sc_2_cone06.jpg,https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/Q0ulhLd9O9m3vmQxEvwO3Q/-GxuVqRoclARr0V1qa0u0S8Pqi4lAzNm5jiO24dafgAfXx1vWQEwbBwQpSLF6XeyX8Z8ASOAEQmYN-W52HiSFsPzGjmds0jZ5lTeluHv-R7DScuYt6ddKjo4B93Lzs4W7MiFr4sw-niY_PXnzP7kuEkKpyDGiGtytvdx13URJ7Y/GsG4Iy4kPjFSgc8DUI4XhgtqhUdeGJWcodrjst4WN1I),,,,,,,,,1,,,,,1,1,,,1,,,1,1,,1,,1,,,,,,,,,,,
Cutie Pie Coral,sc_89_cone06.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/i_HbOCjmH-cKEhmgxOIzOA/blOEnB5yms3wTfnTczMKBi_8gle8k8eBDWr-Ea75am7xz7S54tiLfaZqxx0uM-wzpaP0GOdjzVXiwvpCds9qKoXkrxg5PP5fW65k0VRWiGs66uVmQSr9jxeMWrAoYao0nYOQptuuzghc4TZ9lQ_pX1LFpFGLCUp0t1evn49P0h0/fSBAJJdll7qKjpUmWmd1sZV_4y1Ek3DSuqKCNoFlzKQ),sc_89_cone06.jpg,https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/i_HbOCjmH-cKEhmgxOIzOA/blOEnB5yms3wTfnTczMKBi_8gle8k8eBDWr-Ea75am7xz7S54tiLfaZqxx0uM-wzpaP0GOdjzVXiwvpCds9qKoXkrxg5PP5fW65k0VRWiGs66uVmQSr9jxeMWrAoYao0nYOQptuuzghc4TZ9lQ_pX1LFpFGLCUp0t1evn49P0h0/fSBAJJdll7qKjpUmWmd1sZV_4y1Ek3DSuqKCNoFlzKQ),,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,
Tu Tu Tango,sc_88_cone06.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/AlojIB5lBacjwZemCuzaQw/3VchU8b8k-qyZoyF0AEy32taA3SDVGSEHkyuHpaMNwYMPI5MqqU_y6hmvqiwaWEuIk_pfHHFKFBzLL4HzOkZQclnv1g3-6X1apidwuGSG3VtpDxPLWNE6DzrPLWYBZq1hInuJBRagbQSACMMZBlJLOr7Ovcq-L5052PVqmMslnc/mSa1VjHcqbSmFF3Zk38O17ZOxtTqIXxOdKX0pefAn0w),sc_88_cone06.jpg,https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/AlojIB5lBacjwZemCuzaQw/3VchU8b8k-qyZoyF0AEy32taA3SDVGSEHkyuHpaMNwYMPI5MqqU_y6hmvqiwaWEuIk_pfHHFKFBzLL4HzOkZQclnv1g3-6X1apidwuGSG3VtpDxPLWNE6DzrPLWYBZq1hInuJBRagbQSACMMZBlJLOr7Ovcq-L5052PVqmMslnc/mSa1VjHcqbSmFF3Zk38O17ZOxtTqIXxOdKX0pefAn0w),,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Candy Apple Red,sc_73_cone06.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/5SM10nAt5ZNwJ-w_3LT7Sw/_f7CKxI6Ck1xYvksE8SNrcJ_yprpC7xQiSCvT0OCqQVdfZwsRxeZ89WbECzn-MfWZqS71ooUhTXnr6QoZ-vu-EDO3VS09wqWZllfPwUDUI8snoUIhlAlHmmBplnruFL9d6P2kEBJrEAuJYjB8YNbxAnfYSJtWIAhXfW2dRpgGx8/8EhVuCkZf3AM11qI7M7LpEnKlePm5k-_ZjP4UZWiYeY),sc_73_cone06.jpg,https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/5SM10nAt5ZNwJ-w_3LT7Sw/_f7CKxI6Ck1xYvksE8SNrcJ_yprpC7xQiSCvT0OCqQVdfZwsRxeZ89WbECzn-MfWZqS71ooUhTXnr6QoZ-vu-EDO3VS09wqWZllfPwUDUI8snoUIhlAlHmmBplnruFL9d6P2kEBJrEAuJYjB8YNbxAnfYSJtWIAhXfW2dRpgGx8/8EhVuCkZf3AM11qI7M7LpEnKlePm5k-_ZjP4UZWiYeY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hot Tamale,sc_74_cone06.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/_p9nHUgho6UDnq2NbCFk3Q/3rnYmFmFWkaNUe8WHzPFYNaNPJV02kwwMTWm27XpxRqGfA7VYUIqg1Q9_Epjt82maP0b96qS7F4cEadGM5z9_wPAQm6_-a6NYEDms1-WRscXNpy_eHsQPRHMnn9M_3y34o00zrp8b4E1pOhzQJ3jNn8rHPNCILddUVXN32dFx8s/Zy7sAn1bulosm7eUCrbIau7AGfnvYTu0sKwwLViPWYY),sc_74_cone06.jpg,https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/_p9nHUgho6UDnq2NbCFk3Q/3rnYmFmFWkaNUe8WHzPFYNaNPJV02kwwMTWm27XpxRqGfA7VYUIqg1Q9_Epjt82maP0b96qS7F4cEadGM5z9_wPAQm6_-a6NYEDms1-WRscXNpy_eHsQPRHMnn9M_3y34o00zrp8b4E1pOhzQJ3jNn8rHPNCILddUVXN32dFx8s/Zy7sAn1bulosm7eUCrbIau7AGfnvYTu0sKwwLViPWYY),,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,
Ruby Slippers,sc_87_cone06.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/uCdapHMahY-92j3vTgqqGQ/iCNy3lOPE9V_SR7SsZY3orQ0nAtnYIuc92m-x3mgm31oOB9WN6FhrlH_w7oXE6zASMhr08yEAl2kayE7L8V7UHOZHnOy0s9tmLz08TGiFrmSaMS-QKL7o4rvqEZh5U2QFe2G7KXDe_XfFkTQykNqr1RnKk-yaYzG5mqbPGuvUQU/EcCUHGPUKh8DMPWH40QYOp8dJIBLF3tQyeSQWLF4k-I),sc_87_cone06.jpg,https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/uCdapHMahY-92j3vTgqqGQ/iCNy3lOPE9V_SR7SsZY3orQ0nAtnYIuc92m-x3mgm31oOB9WN6FhrlH_w7oXE6zASMhr08yEAl2kayE7L8V7UHOZHnOy0s9tmLz08TGiFrmSaMS-QKL7o4rvqEZh5U2QFe2G7KXDe_XfFkTQykNqr1RnKk-yaYzG5mqbPGuvUQU/EcCUHGPUKh8DMPWH40QYOp8dJIBLF3tQyeSQWLF4k-I),,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Cinnamon Stix,sc_81_cone06.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/1fg8aDEhgIDjVgE4EPR_Jw/AjgRHatANOeu47rs7VtOZy3EYjSqHvg2icPg3zvlTuayOsH6l_DAd0MbFk5R_P2aBhkc7n7g7L6bC3oG76huU1BAE4Uq1drFdRO4Kq8Beln9yCdtUzpR61EjeYTGOAJOXWzGnaoHm5h8zsRQV55U4OlFe3HfUw17MhFFFGkuXTs/73w4ryjYZxFuNLIU_VtVmlSeOGuRU4YM5hIfqp_9dZk),sc_81_cone06.jpg,https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/1fg8aDEhgIDjVgE4EPR_Jw/AjgRHatANOeu47rs7VtOZy3EYjSqHvg2icPg3zvlTuayOsH6l_DAd0MbFk5R_P2aBhkc7n7g7L6bC3oG76huU1BAE4Uq1drFdRO4Kq8Beln9yCdtUzpR61EjeYTGOAJOXWzGnaoHm5h8zsRQV55U4OlFe3HfUw17MhFFFGkuXTs/73w4ryjYZxFuNLIU_VtVmlSeOGuRU4YM5hIfqp_9dZk),,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,
Pink-A-Boo,sc_1_cone06.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/d7SEmVzGG9sok91NwXe3cw/8cY1YYCOBLSRw5sPw93u0rIa0wzWmyvJubyXFC8QDw9hg0QKv4NUCat5XyvJEhgpwzmku4YwtH5rG120ku6l1Mag-u7ggcKUVPTy26Qoa-j_TyClxMhnBYJp1itJACmXEwINlJCbiFVNTcYcZY0Gx_SYJBvrLIpH2vNmi2MJSXM/0h4JHyproFc_xMtLnhbycSy-K3a_hxJEmG0oNfgvzfY),sc_1_cone06.jpg,https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/d7SEmVzGG9sok91NwXe3cw/8cY1YYCOBLSRw5sPw93u0rIa0wzWmyvJubyXFC8QDw9hg0QKv4NUCat5XyvJEhgpwzmku4YwtH5rG120ku6l1Mag-u7ggcKUVPTy26Qoa-j_TyClxMhnBYJp1itJACmXEwINlJCbiFVNTcYcZY0Gx_SYJBvrLIpH2vNmi2MJSXM/0h4JHyproFc_xMtLnhbycSy-K3a_hxJEmG0oNfgvzfY),,,,,,,,,,,,,1,1,1,,,,,1,,1,,,,,,,,,,1,,,,,
Makin Me Blush,sc_100_cone06.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/asxcYZQNKyNebwTw_E_fJA/qXmPlyhFluY1TpeKCMZiaxIEdl9UN2KooOTw24_jn31dYm12DwnW5TGtyK6LeQC-U57SpzRB97yT-3PhOJGKdycFp119R-sNeq41AhwUKkFVb8S49w0w6UbrWjV-zVpa0JZ5876qB2Hw4yKL6wWOyRSnBCEuL5HNir42oRoLixc/Z1HPY9usJtPKCepfV8gYvix1xRuoYw5RZBJr1ZgH80g),sc_100_cone06.jpg,https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/asxcYZQNKyNebwTw_E_fJA/qXmPlyhFluY1TpeKCMZiaxIEdl9UN2KooOTw24_jn31dYm12DwnW5TGtyK6LeQC-U57SpzRB97yT-3PhOJGKdycFp119R-sNeq41AhwUKkFVb8S49w0w6UbrWjV-zVpa0JZ5876qB2Hw4yKL6wWOyRSnBCEuL5HNir42oRoLixc/Z1HPY9usJtPKCepfV8gYvix1xRuoYw5RZBJr1ZgH80g),,1,,,,,,,1,1,,1,1,,,,1,,,1,1,1,1,,,1,,,,,,,,,,,
