Glaze Name,ID,Image File,Image Path,File Exists,File Size (KB)
"Sour Apple","SC-27","sc_27_cone06.jpg","glaze_images/sc_27_cone06.jpg","Yes","83"
"Toad-ily Green","SC-52","sc_52_cone06.jpg","glaze_images/sc_52_cone06.jpg","Yes","88"
"It's Sage","SC-79","sc_79_cone06.jpg","glaze_images/sc_79_cone06.jpg","Yes","103"
"Army Surplus","SC-39","sc_39_cone06.jpg","glaze_images/sc_39_cone06.jpg","Yes","94"
"Old Lace","SC-86","sc_86_cone06.jpg","glaze_images/sc_86_cone06.jpg","Yes","79"
"Vanilla Dip","SC-54","sc_54_cone06.jpg","glaze_images/sc_54_cone06.jpg","Yes","82"
"Cashew Later","SC-20","sc_20_cone06.jpg","glaze_images/sc_20_cone06.jpg","Yes","89"
"Rawhide","SC-46","sc_46_cone06.jpg","glaze_images/sc_46_cone06.jpg","Yes","85"
"Poo Bear","SC-51","sc_51_cone06.jpg","glaze_images/sc_51_cone06.jpg","Yes","82"
"Tiger Tail","SC-5","sc_5_cone06.jpg","glaze_images/sc_5_cone06.jpg","Yes","93"
"Crackerjack Brown","SC-25","sc_25_cone06.jpg","glaze_images/sc_25_cone06.jpg","Yes","96"
"Basketball","SC-80","sc_80_cone06.jpg","glaze_images/sc_80_cone06.jpg","Yes","94"
"Brown Cow","SC-41","sc_41_cone06.jpg","glaze_images/sc_41_cone06.jpg","Yes","94"
"Camel Back","SC-48","sc_48_cone06.jpg","glaze_images/sc_48_cone06.jpg","Yes","91"
"Java Bean","SC-14","sc_14_cone06.jpg","glaze_images/sc_14_cone06.jpg","Yes","82"
"Down To Earth","SC-34","sc_34_cone06.jpg","glaze_images/sc_34_cone06.jpg","Yes","82"
"Café Ole","SC-92","sc_92_cone06.jpg","glaze_images/sc_92_cone06.jpg","Yes","81"
"Elephant Ears","SC-90","sc_90_cone06.jpg","glaze_images/sc_90_cone06.jpg","Yes","84"
"Tip Taupe","SC-83","sc_83_cone06.jpg","glaze_images/sc_83_cone06.jpg","Yes","120"
"Silver Lining","SC-60","sc_60_cone06.jpg","glaze_images/sc_60_cone06.jpg","Yes","93"
"Gray Hare","SC-35","sc_35_cone06.jpg","glaze_images/sc_35_cone06.jpg","Yes","100"
"Char-ming","SC-99","sc_99_cone06.jpg","glaze_images/sc_99_cone06.jpg","Yes","62"
"Tuxedo","SC-15","sc_15_cone06.jpg","glaze_images/sc_15_cone06.jpg","Yes","75"
